"OPTZ_PLN_ID","JIG_CODE","OPTZ_JIG_CODE","OPTZ_JIG_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_04","J07D","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02B","J02AJ02BJ02CJ02DJ01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","J04AJ04DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09A","J08AJ08DJ10AJ07AJ07BJ07CJ07DJ09AJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01B","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08A","J06AJ06BJ06CJ06DJ08AJ08B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05B","J06AJ06BJ06CJ06DJ08AJ08BJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","J03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10A","J10AJ10BJ10CJ10DJ09BJ09C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04B","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02D","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04C","J04AJ04BJ04CJ04DJ41AJ41B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08A","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08A","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04D","J04AJ04DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09A","J09A","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02C","J02CJ02DJ04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07A","J08AJ08DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04D","J02CJ02DJ04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07D","J05AJ05BJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J42C","J42C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10D","J10AJ10BJ10CJ10DJ09BJ09C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07D","J08AJ08DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04D","J02DJ04AJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08A","J08AJ08BJ08CJ08DJ10AJ10BJ07BJ07CJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08B","J08AJ08BJ08CJ08DJ10AJ10B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07A","J05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04D","J04CJ04DJ41AJ41BJ41CJ41DJ03CJ42BJ42C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05A","J06AJ06BJ06CJ06DJ08AJ08BJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08C","J06CJ06DJ08AJ08BJ08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02B","J02AJ02BJ02CJ02DJ04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02D","J02CJ02DJ04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07D","J05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08C","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J41C","J04AJ04BJ04CJ04DJ41AJ41BJ41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07A","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05B","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J11C","J10AJ10BJ10CJ10DJ11AJ11BJ11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06D","J06AJ06BJ06CJ06DJ08AJ08BJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05B","J06AJ06BJ06CJ06DJ05BJ05C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01B","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06D","J06AJ06BJ06CJ06DJ05BJ05C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","J02AJ02BJ02CJ02DJ04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J41A","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08B","J08AJ08BJ08CJ08DJ07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06D","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07C","J07AJ07BJ07CJ07DJ09AJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01C","J01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01B","J01B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02B","J02B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03A","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J41D","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06B","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J41C","J41C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10D","J10AJ10DJ09AJ09BJ09CJ09D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01D","J02AJ02DJ01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06A","J41CJ41DJ06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07C","J07AJ07BJ07CJ07DJ09AJ09BJ09CJ09D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02C","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05D","J05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02B","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09B","J07AJ07BJ07CJ07DJ09AJ09BJ09CJ09D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02D","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06B","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J41A","J04AJ04BJ04CJ04DJ41AJ41B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09B","J10AJ10BJ10CJ10DJ09BJ09C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10B","J10B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08D","J08AJ08BJ08CJ08DJ07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09A","J07AJ07BJ07CJ07DJ09AJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10A","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02A","J02AJ02DJ01AJ01BJ01CJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04D","J04AJ04BJ04CJ04DJ41AJ41B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03A","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07B","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08D","J08AJ08DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06C","J06AJ06BJ06CJ06DJ08AJ08BJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09D","J09D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04C","J04AJ04BJ04CJ04DJ03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","J01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06C","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08B","J06AJ06BJ06CJ06DJ08AJ08BJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08A","J08AJ08BJ08CJ08DJ07BJ07C","1"
