"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC","ROTATION_STATUS","MIN_SIZE_GAP","FINAL_STATUS"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J03B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","243","G9G9","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ03BJ03C","1","1","38.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J03A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","132","G9G9","J08AJ08BJ08CJ08DJ10AJ10B","1","2","20.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J07AJ07BJ07CJ07DJ09AJ09B","1","1","25.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","132","G9G9","J06CJ06DJ08AJ08BJ08CJ08D","1","2","19.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2576","805","G9G9","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1","1","37.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","193","R1G9","J04AJ04BJ04CJ04DJ03BJ03C","1","1","27.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J08AJ08BJ08CJ08DJ07BJ07C","1","1","21.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1","1","32.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","243","G9G9","J04AJ04DJ03AJ03BJ03CJ03D","1","1","27.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","243","G9G9","J06AJ06BJ06CJ06DJ08AJ08B","1","1","30.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","629","H2G9","J02CJ02DJ04AJ04BJ04CJ04D","1","2","14.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","243","G9G9","J02AJ02BJ02CJ02DJ04AJ04BJ04CJ04D","1","1","40.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","824","R1G9","J10AJ10BJ10CJ10DJ11AJ11BJ11CJ11D","1","1","25.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J05AJ05BJ05CJ05DJ07AJ07BJ07CJ07D","1","1","24.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","629","H2G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","35.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","193","G9G9","J06AJ06BJ06CJ06DJ08AJ08B","1","1","24.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","183","G9G9","J06DJ08AJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","34.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1","1","32.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2594","113","G9G9","J08AJ08BJ08CJ08DJ10AJ10B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","183","R1G9","J07AJ07BJ07CJ07DJ09AJ09B","1","1","31.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","26.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","639","H2G9","J06AJ06BJ06CJ06DJ05BJ05C","1","1","29.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G8G9","J01AJ01BJ01CJ01DJ03AJ03B","1","1","16.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J41CJ41DJ06AJ06BJ06CJ06D","1","1","22.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","193","G9G9","J06AJ06BJ06CJ06DJ05BJ05C","1","1","23.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","183","R1G9","J02AJ02BJ02CJ02DJ01BJ01C","1","1","28.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J08AJ08BJ08CJ08DJ10AJ10BJ07BJ07CJ09B","1","1","17.5","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J10AJ10BJ10CJ10DJ09BJ09C","0","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G8G9","J06AJ06BJ06CJ06DJ08AJ08B","1","1","19.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","132","G9G9","J05AJ05BJ05CJ05DJ07AJ07BJ07CJ07D","1","2","31.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J02AJ02BJ02CJ02DJ01BJ01C","1","1","19.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","183","R1G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ07BJ07C","1","1","42.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","193","R1G9","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","1","1","36.0","0"
