"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","JIG_CODE","OPTZ_JIG_CODE","FIX_SD","FIX_SD_WORK_CLSF","FIX_FD","FIX_FD_WORK_CLSF","ROTATE_INDC","OPTZ_FIX_TYPE_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J04B","J04B","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01A","J01A","20250910","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","R1G9","J07B","J07B","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J41C","J41C","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J03C","J03C","20250912","B","20250915","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J06B","J06B","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J06A","J06A","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J06C","J06C","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","G9G9","J02B","J02B","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J06C","J06C","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","G9G9","J07A","J07A","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","G9G9","J02C","J02C","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","R1G9","J10D","J10D","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J41A","J41A","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J06B","J06B","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J41D","J41D","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J03A","J03A","20251016","B","20251017","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J03D","J03D","20251021","B","20251022","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J41B","J41B","20250924","B","20250926","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","J04D","J04D","20250919","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","183","G9G9","J06C","J06C","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","G9G9","J01A","J01A","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J41C","J41C","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J08B","J08B","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J41D","J41D","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J41A","J41A","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J10B","J10B","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J06D","J06D","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J02D","J02D","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J03A","J03A","20250912","B","20250915","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","G9G9","J04B","J04B","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03D","J03D","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","R1G9","J07D","J07D","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J41C","J41C","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J08A","J08A","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","J04B","J04B","20250919","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","J02C","J02C","20250918","B","20250922","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J41B","J41B","20250918","B","20250923","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J03A","J03A","20251021","B","20251022","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J08B","J08B","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J41A","J41A","20250918","B","20250923","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","J04A","J04A","20250919","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J41A","J41A","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","G9G9","J01D","J01D","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","R1G9","J09B","J09B","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J04A","J04A","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J05A","J05A","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J10A","J10A","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","G9G9","J04C","J04C","20251015","B","20251016","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","J04C","J04C","20250919","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J42B","J42B","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J41A","J41A","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","855","G9G9","J41B","J41B","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","G9G9","J04D","J04D","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","183","G9G9","J06D","J06D","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J05B","J05B","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J08A","J08A","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","G9G9","J04B","J04B","20251015","B","20251016","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08A","J08A","20250920","B","20250923","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J41D","J41D","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J01A","J01A","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J03B","J03B","20251021","B","20251022","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J41D","J41D","20250924","B","20250926","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","844","R1G9","J11A","J11A","20250916","B","20250919","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J41B","J41B","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J06B","J06B","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J42C","J42C","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","R1G9","J09A","J09A","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J42C","J42C","20250924","B","20250926","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","243","G9G9","J01D","J01D","20250922","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J41B","J41B","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","J02D","J02D","20250918","B","20250922","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","R1G9","J07C","J07C","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","G9G9","J04A","J04A","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J41C","J41C","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J41D","J41D","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","844","R1G9","J11C","J11C","20250916","B","20250919","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J04C","J04C","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","132","G9G9","J06C","J06C","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","G9G9","J02B","J02B","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08D","J08D","20250920","B","20250923","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J03B","J03B","20250912","B","20250915","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J08C","J08C","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J06D","J06D","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J41D","J41D","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","G9G9","J02A","J02A","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","132","G9G9","J06A","J06A","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03C","J03C","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J04D","J04D","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","183","G9G9","J06B","J06B","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","G9G9","J04C","J04C","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01D","J01D","20250910","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J06A","J06A","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","J41B","J41B","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10B","J10B","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J41D","J41D","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J42B","J42B","20250924","B","20250926","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10D","J10D","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","677","G9G9","J02D","J02D","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","R1G9","J08B","J08B","20250910","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","J08B","J08B","20250920","B","20250923","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","243","G9G9","J01C","J01C","20250922","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","G9G9","J04A","J04A","20251015","B","20251016","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J41C","J41C","20250924","B","20250926","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","J03C","J03C","20251021","B","20251022","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J41B","J41B","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","G9G9","J41A","J41A","20251016","B","20251017","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J01B","J01B","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","G9G9","J07B","J07B","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J04B","J04B","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","R1G9","J10C","J10C","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J06A","J06A","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","109","G9G9","J05C","J05C","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J07C","J07C","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J05B","J05B","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J06B","J06B","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","G9G9","J02C","J02C","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","G9G9","J03A","J03A","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2370","834","G9G9","J01B","J01B","20250910","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J41B","J41B","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J06A","J06A","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J02A","J02A","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J06B","J06B","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J06B","J06B","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","R1G9","J07A","J07A","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J03D","J03D","20250912","B","20250915","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03A","J03A","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J04D","J04D","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","G9G9","J03D","J03D","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","183","G9G9","J04C","J04C","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","R1G9","J10A","J10A","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","G9G9","J03B","J03B","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","G9G9","J01C","J01C","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J41B","J41B","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","845","G9G9","J04D","J04D","20251015","B","20251016","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J03C","J03C","20251016","B","20251017","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","R1G9","J09C","J09C","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J03D","J03D","20251016","B","20251017","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J10C","J10C","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J08C","J08C","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J41C","J41C","20250918","B","20250923","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","J02B","J02B","20250918","B","20250922","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","243","G9G9","J01B","J01B","20250922","B","20250926","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J10D","J10D","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","G9G9","J03C","J03C","20250919","B","20250922","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J06D","J06D","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","G9G9","J07D","J07D","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","J03B","J03B","20251016","B","20251017","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J01C","J01C","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","132","G9G9","J06C","J06C","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J06C","J06C","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","G9G9","J06D","J06D","20251014","B","20251015","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","122","G9G9","J41C","J41C","20251010","B","20251013","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","G9G9","J03B","J03B","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","G9G9","J04C","J04C","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J02C","J02C","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","122","G9G9","J08D","J08D","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","193","G9G9","J02B","J02B","20250911","B","20250912","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","824","R1G9","J10C","J10C","20250927","N","20251001","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G8G9","J41D","J41D","20250918","B","20250923","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","113","G9G9","J05C","J05C","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J04A","J04A","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","G9G9","J02D","J02D","20250924","B","20250926","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","J06A","J06A","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J41A","J41A","20251020","B","20251021","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","193","G9G9","J41C","J41C","20250912","B","20250916","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","G9G9","J01B","J01B","20251013","B","20251014","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G9G9","J41A","J41A","20250924","B","20250926","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","844","R1G9","J11D","J11D","20250916","B","20250919","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J06C","J06C","20250927","B","20250930","N","2","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","834","G9G9","J07C","J07C","20250922","B","20250924","N","1","6"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","J01D","J01D","20250916","B","20250918","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","R1G9","J10B","J10B","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","J02A","J02A","20250918","B","20250922","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","R1G9","J09D","J09D","20250912","B","20250917","N","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","243","G9G9","J01A","J01A","20250922","B","20250926","N","1","1"
